YEAR BUILT,TOTAL WATER USE (kgal),PROPERTY TYPE,POSTAL CODE,OUTDOOR WATER USE (kgal),NUMBER OF BUILDINGS,INDOOR WATER USE (kgal),GROSS BUILDING FLOOR AREA (ft²)
,,,90048,,,,
1996.0,Not Available,Other - Recreation,90732,Not Available,1.0,Not Available,12314.0
1963.0,999.4,Multifamily Housing,90049,Not Available,1.0,Not Available,42000.0
1971.0,3608.6,Multifamily Housing,90057,Not Available,1.0,Not Available,109017.0
1984.0,Not Available,Self-Storage Facility,91356,Not Available,1.0,Not Available,50000.0
1990.0,1638.2,Multifamily Housing,90036,Not Available,1.0,Not Available,39492.0
1948.0,553.6,K-12 School,90036,Not Available,1.0,Not Available,71717.0
,,,90024,,,,
2001.0,187.0,Self-Storage Facility,91605,Not Available,1.0,187.0,194008.0
,,,91342,,,,
,,,91325,,,,
,,,90015,,,,
1986.0,1477.4,Multifamily Housing,91403,Not Available,1.0,Not Available,46947.0
1999.0,680.7,Distribution Center,91342,Not Available,1.0,680.7,125000.0
2001.0,Not Available,Manufacturing/Industrial Plant,90065,Not Available,1.0,Not Available,39307.0
1960.0,1146,Multifamily Housing,90008,Not Available,1.0,Not Available,20981.0
,,,91311,,,,
1951.0,387.1,Fire Station,90015,Not Available,1.0,Not Available,16244.0
2009.0,811.6,Multifamily Housing,90025,Not Available,1.0,Not Available,37270.0
1977.0,408.4,Manufacturing/Industrial Plant,91324,Not Available,1.0,Not Available,97211.0
,,,91364,,,,
2001.0,114.3,Self-Storage Facility,91405,Not Available,1.0,Not Available,75000.0
,,,90021,,,,
,,,91607,,,,
1980.0,2585.5,Office,91436,Not Available,1.0,2585.5,202987.0
1963.0,3345.3,Multifamily Housing,91335,Not Available,1.0,Not Available,40208.0
,,,90066,,,,
2001.0,7035.1,Other,91406,Not Available,1.0,Not Available,82105.0
1986.0,1530.5,Multifamily Housing,90046,Not Available,1.0,Not Available,38808.0
1977.0,1201.5,Medical Office,91403,Not Available,1.0,1201.5,25243.0
,,,91605,,,,
1977.0,4051.4,Multifamily Housing,90029,Not Available,1.0,Not Available,61525.0
1955.0,Not Available,Other,90045,Not Available,1.0,Not Available,14500.0
1928.0,1510.3,Multifamily Housing,90029,Not Available,1.0,Not Available,20016.0
,,,91601,,,,
1926.0,909.1,Office,90248,Not Available,1.0,Not Available,68392.0
,,,90710,,,,
,,,91405,,,,
,,,90007,,,,
2001.0,12494.1,Multifamily Housing,91411,Not Available,1.0,12494.1,209559.0
,,,91403,,,,
,,,90021,,,,
,,,91311,,,,
,,,90058,,,,
1989.0,1519.3,Multifamily Housing,90036,Not Available,1.0,Not Available,33000.0
1954.0,1056.2,Multifamily Housing,90068,Not Available,2.0,Not Available,18949.0
2015.0,3222.2,Multifamily Housing,90020,Not Available,1.0,Not Available,50140.0
1990.0,Not Available,Parking,91303,Not Available,1.0,Not Available,238260.0
1990.0,2478.3,Multifamily Housing,90057,Not Available,1.0,Not Available,46746.0
,,,90028,,,,
1986.0,1287.9,Office,90034,Not Available,1.0,Not Available,107383.0
1928.0,1293.4,Multifamily Housing,90005,Not Available,1.0,Not Available,25780.0
1982.0,12312.2,Manufacturing/Industrial Plant,90023,Not Available,1.0,Not Available,10127.0
,,,91335,,,,
1963.0,2841.8,Multifamily Housing,91402,Not Available,1.0,Not Available,43491.0
,,,91335,,,,
1972.0,8700.0,Office,90010,Not Available,2.0,Not Available,484677.0
1986.0,1843.3,Office,90024,Not Available,1.0,1843.3,210487.0
1990.0,2660.1,Multifamily Housing,91402,Not Available,1.0,Not Available,28904.0
1989.0,760,Multifamily Housing,90035,Not Available,1.0,Not Available,24234.0
,,,91303,,,,
1962.0,30984.4,Transportation Terminal/Station,90045,Not Available,1.0,Not Available,512572.0
1994.0,2898.3,Retail Store,91303,Not Available,1.0,Not Available,243474.0
,,,90291,,,,
1986.0,625.4,Multifamily Housing,90034,Not Available,1.0,Not Available,21528.0
1984.0,341.7,Office,90292,Not Available,1.0,Not Available,74827.0
,,,91601,,,,
1960.0,2081.1,Multifamily Housing,91401,Not Available,1.0,Not Available,21336.0
1985.0,3960.2,Multifamily Housing,91405,Not Available,1.0,3960.2,60566.0
1976.0,1518.5,Multifamily Housing,91406,Not Available,1.0,Not Available,32081.0
1963.0,1851.4,Multifamily Housing,91335,Not Available,1.0,Not Available,40208.0
,,,90012,,,,
,,,90013,,,,
,,,90045,,,,
1980.0,576,Multifamily Housing,90034,Not Available,1.0,Not Available,20140.0
,,,90025,,,,
,,,90015,,,,
1980.0,5030.6,Other,90058,Not Available,1.0,Not Available,41550.0
1993.0,1175.2,Movie Theater,90035,Not Available,1.0,Not Available,38085.0
1945.0,7435.1,K-12 School,91423,Not Available,7.0,Not Available,166296.0
1991.0,85.6,Office,90038,Not Available,1.0,Not Available,54865.0
,,,91324,,,,
,,,90021,,,,
1988.0,Not Available,Retail Store,91307,Not Available,1.0,Not Available,35278.0
1971.0,1359.2,Multifamily Housing,90020,Not Available,1.0,Not Available,113841.0
1973.0,3200.2,Multifamily Housing,91405,Not Available,1.0,Not Available,29204.0
2011.0,2016.7,Multifamily Housing,91607,Not Available,1.0,Not Available,58448.0
1969.0,1679,Senior Living Community,90018,Not Available,1.0,Not Available,20029.0
2000.0,582.0,Museum,91342,514.7,4.0,67.3,57615.0
,,,91342,,,,
,,,91325,,,,
1982.0,2607.7,Multifamily Housing,90019,Not Available,1.0,Not Available,107612.0
,,,90057,,,,
,,,90018,,,,
1966.0,1569.4,Non-Refrigerated Warehouse,90014,Not Available,1.0,Not Available,325138.0
1962.0,557.3,Multifamily Housing,90034,Not Available,1.0,Not Available,62116.0
2000.0,Not Available,Office,90039,Not Available,1.0,Not Available,66723.0
,,,90248,,,,
,,,91342,,,,
1986.0,2.3,Multifamily Housing,91605,Not Available,1.0,Not Available,88576.0
1990.0,2268.1,Multifamily Housing,91605,Not Available,1.0,Not Available,44000.0
,,,91402,,,,
,,,90014,,,,
1923.0,174.0,Non-Refrigerated Warehouse,90013,Not Available,1.0,Not Available,35750.0
,,,91607,,,,
,,,90013,,,,
,,,90065,,,,
1951.0,10640.4,Multifamily Housing,90036,Not Available,1.0,Not Available,192306.0
,,,90017,,,,
1989.0,3011.6,Multifamily Housing,90020,Not Available,1.0,Not Available,59154.0
1964.0,643.3,Other,90045,Not Available,1.0,Not Available,52077.0
2001.0,11840.5,Multifamily Housing,91411,Not Available,1.0,11840.5,209559.0
1990.0,25.2,Fire Station,90031,Not Available,1.0,Not Available,9427.0
,,,90021,,,,
2006.0,2.3,Manufacturing/Industrial Plant,90058,Not Available,1.0,2.3,55304.0
1923.0,364.3,Manufacturing/Industrial Plant,90007,Not Available,1.0,Not Available,40820.0
,,,91606,,,,
,,,91304,,,,
1946.0,56.1,Non-Refrigerated Warehouse,90001,Not Available,1.0,Not Available,25578.0
1976.0,3540.5,Multifamily Housing,91343,Not Available,1.0,Not Available,36560.0
1957.0,3778.4,Multifamily Housing,91304,Not Available,1.0,Not Available,32642.0
,,,90049,,,,
,,,90045,,,,
1977.0,14296.0,Other - Recreation,91602,Not Available,1.0,Not Available,10720.0
1996.0,1931.5,Medical Office,91345,Not Available,1.0,1931.5,13752.0
1926.0,1883.5,Other,90013,Not Available,1.0,1883.5,81373.0
,,,90006,,,,
,,,90731,,,,
2003.0,21697.2,Parking,90027,Not Available,1.0,Not Available,284243.0
1980.0,470.5,Multifamily Housing,90025,Not Available,1.0,Not Available,31701.0
,,,91303,,,,
,,,90037,,,,
,,,90043,,,,
,,,91316,,,,
,,,90006,,,,
,,,90020,,,,
,,,90027,,,,
,,,91401,,,,
,,,91331,,,,
1962.0,1766.9,Multifamily Housing,90027,Not Available,1.0,Not Available,20870.0
1957.0,3173.5,Bowling Alley,91306,Not Available,2.0,Not Available,57294.0
,,,90031,,,,
1927.0,334.4,Multifamily Housing,90057,Not Available,1.0,Not Available,166826.0
1981.0,8013.4,Multifamily Housing,90012,Not Available,1.0,Not Available,250575.0
,,,91411,,,,
,,,90007,,,,
,,,91401,,,,
,,,91306,,,,
1964.0,1531.3,Multifamily Housing,91411,Not Available,1.0,Not Available,24568.0
1951.0,293.2,Retail Store,90064,Not Available,1.0,Not Available,61700.0
,,,90028,,,,
,,,90057,,,,
,,,90021,,,,
,,,91342,,,,
1977.0,579,Manufacturing/Industrial Plant,91311,Not Available,1.0,Not Available,100400.0
,,,90014,,,,
1980.0,2420.7,Office,91436,Not Available,1.0,2420.7,157484.0
1986.0,252.8,Office,90064,Not Available,1.0,Not Available,66191.0
1986.0,4269.9,Multifamily Housing,91344,Not Available,1.0,Not Available,73300.0
2015.0,0.0,Medical Office,90710,Not Available,1.0,0.0,108702.0
1987.0,3371.5,Office,90045,Not Available,1.0,Not Available,530020.0
1950.0,0.7,Non-Refrigerated Warehouse,90013,Not Available,3.0,Not Available,38543.0
,,,91311,,,,
1975.0,91.4,Fire Station,91403,Not Available,1.0,Not Available,16119.0
1976.0,5398.9,Multifamily Housing,90731,Not Available,1.0,Not Available,135389.0
,,,90034,,,,
,,,90036,,,,
,,,91311,,,,
,,,90248,,,,
1974.0,5599.2,Multifamily Housing,91335,Not Available,1.0,Not Available,131170.0
,,,90024,,,,
,,,90019,,,,
1990.0,3286.9,Medical Office,90048,Not Available,1.0,Not Available,98618.0
2005.0,15234.8,Medical Office,91304,1927.7,1.0,13307.1,160740.0
,,,91352,,,,
1978.0,323.2,Non-Refrigerated Warehouse,91311,Not Available,1.0,Not Available,48300.0
1971.0,58.2,Distribution Center,91605,Not Available,1.0,58.2,110684.0
2003.0,653.8,Parking,90027,Not Available,1.0,Not Available,284243.0
,,,91303,,,,
1985.0,4158.9,K-12 School,91307,Not Available,1.0,4158.9,98000.0
1942.0,178,Worship Facility,90043,Not Available,1.0,Not Available,32902.0
1991.0,7195.5,Multifamily Housing,91364,Not Available,1.0,Not Available,224000.0
,,,90021,,,,
,,,90005,,,,
1984.0,415.2,Office,91423,Not Available,1.0,Not Available,81831.0
,,,90059,,,,
1975.0,Not Available,Senior Care Community,90033,Not Available,3.0,Not Available,174240.0
,,,90068,,,,
1973.0,5293.2,Multifamily Housing,90004,Not Available,1.0,Not Available,72401.0
,,,91345,,,,
,,,90015,,,,
1963.0,1112.0,Manufacturing/Industrial Plant,91311,Not Available,1.0,Not Available,63000.0
1992.0,3541.5,Mixed Use Property,91436,Not Available,1.0,Not Available,83861.0
1988.0,4275.1,Multifamily Housing,90038,Not Available,1.0,Not Available,71869.0
,,,91344,,,,
,,,91304,,,,
,,,90004,,,,
,,,90014,,,,
,,,90057,,,,
,,,90016,,,,
,,,90025,,,,
,,,91411,,,,
,,,90021,,,,
,,,90018,,,,
1992.0,Not Available,Parking,91367,Not Available,4.0,Not Available,1971418.0
,,,90027,,,,
1968.0,3260,Multifamily Housing,90034,Not Available,1.0,Not Available,53762.0
1985.0,5719.6,Office,90064,Not Available,1.0,Not Available,447252.0
2010.0,185.8,Fire Station,90023,Not Available,1.0,Not Available,8200.0
2014.0,100.7,Office,91331,Not Available,1.0,Not Available,70000.0
,,,90034,,,,
1949.0,143.6,Automobile Dealership,91423,Not Available,1.0,Not Available,24311.0
1987.0,7455.8,Mixed Use Property,91311,Not Available,1.0,7455.8,77980.0
,,,90034,,,,
1964.0,2200,Multifamily Housing,91306,Not Available,1.0,Not Available,36580.0
1990.0,3084.0,Multifamily Housing,90069,Not Available,1.0,Not Available,81104.0
1988.0,2094.5,Multifamily Housing,90036,Not Available,1.0,Not Available,59270.0
1957.0,1209.6,Social/Meeting Hall,91606,Not Available,1.0,Not Available,20400.0
1973.0,7645.8,Other,90005,Not Available,1.0,Not Available,32864.0
2001.0,14406.7,Multifamily Housing,90292,Not Available,1.0,Not Available,338458.0
,,,90004,,,,
,,,90012,,,,
1971.0,2025.4,Multifamily Housing,90020,Not Available,1.0,Not Available,41000.0
2003.0,1089.9,Multifamily Housing,91367,Not Available,1.0,Not Available,24337.0
,,,90006,,,,
1984.0,353.7,Office,90292,Not Available,1.0,Not Available,74868.0
2003.0,3129.1,Multifamily Housing,91342,Not Available,7.0,Not Available,62200.0
1985.0,4842.2,Office,90071,Not Available,1.0,4842.2,1090136.0
1987.0,41.1,Self-Storage Facility,91406,Not Available,1.0,Not Available,78700.0
1920.0,1474.5,Other,90014,Not Available,1.0,Not Available,89841.0
,,,91406,,,,
,,,91311,,,,
,,,90291,,,,
1969.0,912.6,Multifamily Housing,90028,Not Available,1.0,Not Available,31959.0
2012.0,53.3,Office,90026,Not Available,1.0,Not Available,20000.0
,,,91436,,,,
1958.0,1073.6,Strip Mall,91344,Not Available,1.0,Not Available,59800.0
,,,90034,,,,
,,,91367,,,,
1963.0,801.2,Multifamily Housing,91423,Not Available,1.0,Not Available,22868.0
1979.0,Not Available,Parking,90012,Not Available,5.0,Not Available,1.0
,,,90014,,,,
,,,91605,,,,
,,,91606,,,,
,,,90066,,,,
,,,90016,,,,
1986.0,380,Office,90010,Not Available,1.0,Not Available,40809.0
1926.0,785.5,Multifamily Housing,90027,Not Available,1.0,Not Available,22722.0
,,,90026,,,,
1951.0,5141.4,Multifamily Housing,90036,Not Available,1.0,Not Available,71755.0
,,,91306,,,,
1988.0,987.4,Multifamily Housing,90291,Not Available,1.0,Not Available,24717.0
1989.0,2892.7,Multifamily Housing,90020,Not Available,1.0,Not Available,40016.0
1963.0,7837.3,Multifamily Housing,91606,Not Available,1.0,Not Available,39111.0
1971.0,914.9,Supermarket/Grocery Store,91356,Not Available,1.0,914.9,26500.0
1988.0,843.1,Multifamily Housing,91601,Not Available,1.0,Not Available,20972.0
1965.0,84.5,Mixed Use Property,90023,Not Available,1.0,Not Available,47490.0
,,,91335,,,,
,,,90043,,,,
1965.0,1399.6,Multifamily Housing,90046,Not Available,1.0,Not Available,28286.0
,,,91605,,,,
,,,90066,,,,
,,,90731,,,,
2000.0,288,Office,90064,Not Available,1.0,Not Available,51877.0
1981.0,333.8,Parking,90045,Not Available,1.0,333.8,1600.0
,,,90043,,,,
2003.0,8438.8,Hospital (General Medical & Surgical),90027,Not Available,1.0,Not Available,115419.0
,,,90027,,,,
,,,90027,,,,
1989.0,2064.6,Multifamily Housing,90032,Not Available,1.0,Not Available,37756.0
,,,90744,,,,
,,,90065,,,,
1940.0,26.9,Manufacturing/Industrial Plant,90001,Not Available,1.0,Not Available,24360.0
2001.0,213.2,Non-Refrigerated Warehouse,90012,Not Available,1.0,Not Available,60831.0
,,,91306,,,,
1990.0,64.8,Other - Services,91405,Not Available,1.0,Not Available,13400.0
1977.0,3349.9,Multifamily Housing,91335,Not Available,1.0,Not Available,92122.0
,,,90010,,,,
1988.0,451.8,Distribution Center,91342,Not Available,1.0,Not Available,38600.0
1986.0,1591.8,Multifamily Housing,91042,Not Available,4.0,Not Available,27000.0
1967.0,6424.9,Office,90071,Not Available,1.0,Not Available,774238.0
,,,91356,,,,
,,,91311,,,,
1980.0,Not Available,Manufacturing/Industrial Plant,91367,Not Available,1.0,Not Available,25000.0
1994.0,88.0,Self-Storage Facility,91403,Not Available,1.0,88.0,53542.0
1950.0,256.6,Manufacturing/Industrial Plant,90001,Not Available,1.0,Not Available,24630.0
1989.0,3729.3,Mixed Use Property,90013,Not Available,1.0,3729.3,123275.0
1980.0,805.7,Multifamily Housing,90034,Not Available,1.0,Not Available,21743.0
1992.0,3018.1,Other - Services,90045,Not Available,1.0,Not Available,25461.0
,,,90013,,,,
1986.0,4602,Medical Office,91345,Not Available,1.0,4602,72821.0
1955.0,861.8,Distribution Center,90058,Not Available,2.0,Not Available,60000.0
,,,90012,,,,
,,,90028,,,,
1972.0,790.7,Multifamily Housing,90025,Not Available,1.0,Not Available,26155.0
,,,91601,,,,
,,,90248,,,,
1989.0,1680.9,Multifamily Housing,90048,Not Available,1.0,Not Available,56000.0
,,,90502,,,,
1963.0,2041.4,Multifamily Housing,91605,Not Available,1.0,Not Available,24192.0
1928.0,5037.4,Multifamily Housing,90057,Not Available,1.0,Not Available,23480.0
1987.0,Not Available,Multifamily Housing,90064,Not Available,1.0,Not Available,21231.0
2010.0,1.7,Multifamily Housing,91601,Not Available,1.0,Not Available,26867.0
1929.0,2313,Multifamily Housing,90005,Not Available,1.0,Not Available,54930.0
1939.0,2333.2,Multifamily Housing,91402,Not Available,1.0,Not Available,24428.0
1965.0,5.2,Office,90501,Not Available,1.0,Not Available,22797.0
,,,90064,,,,
,,,90027,,,,
1966.0,409.9,Office,91344,Not Available,1.0,Not Available,28140.0
1969.0,347.8,Manufacturing/Industrial Plant,91311,Not Available,1.0,Not Available,32535.0
1992.0,2025,Multifamily Housing,90044,Not Available,1.0,Not Available,36785.0
,,,91402,,,,
1959.0,171.3,Non-Refrigerated Warehouse,91405,Not Available,2.0,Not Available,45000.0
,,,91403,,,,
1986.0,785.2,Office,91423,Not Available,1.0,785.2,72000.0
,,,91602,,,,
,,,90028,,,,
1974.0,484.8,Other,91352,484.8,1.0,Not Available,72500.0
1960.0,Not Available,Police Station,90045,Not Available,1.0,Not Available,17964.0
2002.0,180.5,Office,91367,Not Available,1.0,Not Available,92915.0
2014.0,3391.2,Multifamily Housing,90037,Not Available,1.0,Not Available,82689.0
,,,90017,,,,
,,,90032,,,,
,,,90005,,,,
,,,91423,,,,
,,,90025,,,,
,,,91607,,,,
2003.0,495.2,Retail Store,90015,Not Available,1.0,Not Available,29975.0
,,,90001,,,,
,,,91304,,,,
,,,90025,,,,
1980.0,559.5,Multifamily Housing,90291,Not Available,1.0,Not Available,24122.0
1964.0,3744.7,Multifamily Housing,91325,Not Available,1.0,Not Available,38234.0
,,,90065,,,,
,,,91325,,,,
1969.0,5237.9,Multifamily Housing,90020,Not Available,2.0,Not Available,113424.0
1980.0,1946.4,Retail Store,90011,Not Available,1.0,Not Available,36139.0
1986.0,6.2,Multifamily Housing,91304,Not Available,2.0,Not Available,79314.0
1964.0,1202.8,Multifamily Housing,90020,Not Available,1.0,1202.8,22539.0
1982.0,1562.9,Medical Office,90048,Not Available,1.0,1562.9,113387.0
1912.0,11907.3,Multifamily Housing,90013,Not Available,1.0,11907.3,190954.0
1956.0,124.9,Non-Refrigerated Warehouse,90058,Not Available,1.0,Not Available,23326.0
2001.0,1365.9,Multifamily Housing,90007,Not Available,2.0,Not Available,26988.0
,,,91304,,,,
1975.0,73.3,Non-Refrigerated Warehouse,90248,Not Available,1.0,Not Available,62660.0
1987.0,55.7,Parking,90038,Not Available,1.0,Not Available,246646.0
1970.0,21.6,Supermarket/Grocery Store,91343,Not Available,0.0,21.6,23200.0
2006.0,2948.1,Multifamily Housing,90003,Not Available,1.0,Not Available,37321.0
,,,90058,,,,
2003.0,137.6,Manufacturing/Industrial Plant,91406,Not Available,1.0,Not Available,59995.0
1992.0,1707.2,Multifamily Housing,90020,Not Available,1.0,1707.2,601.0
1958.0,16602.3,Manufacturing/Industrial Plant,91309,Not Available,16.0,Not Available,705917.0
,,,90014,,,,
,,,90013,,,,
,,,91605,,,,
,,,91303,,,,
1961.0,1298.6,Multifamily Housing,90049,Not Available,1.0,Not Available,69021.0
,,,90027,,,,
1979.0,1508.8,Multifamily Housing,91605,Not Available,1.0,Not Available,22462.0
,,,90045,,,,
2003.0,Not Available,Self-Storage Facility,91367,Not Available,1.0,Not Available,111000.0
,,,91403,,,,
1981.0,2862.0,Office,90017,Not Available,1.0,Not Available,214679.0
,,,90018,,,,
,,,91423,,,,
1987.0,Not Available,Multifamily Housing,90034,Not Available,1.0,Not Available,43776.0
1985.0,614.9,Office,90066,Not Available,1.0,Not Available,89600.0
2014.0,0.0,Multifamily Housing,90006,Not Available,1.0,Not Available,61115.0
2001.0,1156.5,Multifamily Housing,90044,Not Available,1.0,Not Available,32642.0
2013.0,2781.5,Other - Lodging/Residential,90005,248.9,1.0,2532.6,23000.0
1952.0,2566.6,Multifamily Housing,90027,Not Available,1.0,Not Available,30240.0
1908.0,801.2,Refrigerated Warehouse,90021,Not Available,1.0,Not Available,83900.0
,,,90057,,,,
,,,91331,,,,
2009.0,768.2,Multifamily Housing,91356,Not Available,1.0,Not Available,21266.0
,,,90038,,,,
,,,91602,,,,
1930.0,5318.9,Mixed Use Property,90034,Not Available,1.0,5318.9,260000.0
1968.0,122.7,Manufacturing/Industrial Plant,91331,Not Available,1.0,Not Available,21800.0
1981.0,668.8,Office,91402,Not Available,1.0,Not Available,41434.0
,,,91306,,,,
1942.0,Not Available,Manufacturing/Industrial Plant,91406,Not Available,2.0,Not Available,62160.0
,,,90008,,,,
,,,90034,,,,
,,,90012,,,,
,,,90020,,,,
,,,90010,,,,
,,,90015,,,,
1968.0,179.5,Distribution Center,90045,Not Available,1.0,Not Available,22000.0
1977.0,207.2,Office,91356,Not Available,1.0,Not Available,31500.0
1969.0,6763.9,Office,90024,Not Available,1.0,Not Available,635063.0
1962.0,74.1,Office,90057,Not Available,1.0,Not Available,22384.0
,,,90024,,,,
1923.0,288,Manufacturing/Industrial Plant,90014,Not Available,1.0,Not Available,83520.0
1980.0,56.9,Manufacturing/Industrial Plant,90001,Not Available,1.0,Not Available,27500.0
,,,91325,,,,
1987.0,2565.8,Multifamily Housing,90057,Not Available,1.0,Not Available,30960.0
2008.0,1005.4,Multifamily Housing,90064,Not Available,1.0,Not Available,36463.0
1989.0,1016.6,Multifamily Housing,90025,Not Available,1.0,Not Available,41192.0
1978.0,643.9,Distribution Center,91342,Not Available,2.0,Not Available,80000.0
1957.0,97.7,Distribution Center,90058,Not Available,4.0,97.7,62440.0
1986.0,998.6,Non-Refrigerated Warehouse,90065,Not Available,1.0,Not Available,72000.0
1959.0,1823,Multifamily Housing,90034,Not Available,7.0,Not Available,40676.0
1979.0,3046.1,Strip Mall,91423,Not Available,1.0,Not Available,49678.0
,,,90059,,,,
1920.0,621.6,Distribution Center,90023,Not Available,1.0,Not Available,113000.0
2003.0,1323.3,Self-Storage Facility,90028,Not Available,1.0,Not Available,125152.0
1977.0,891.0,Distribution Center,91342,Not Available,1.0,Not Available,175000.0
1959.0,5778.7,Multifamily Housing,90027,Not Available,1.0,Not Available,62000.0
,,,90021,,,,
,,,90046,,,,
1928.0,30.0,Other,90023,Not Available,1.0,Not Available,112000.0
,,,90013,,,,
,,,90034,,,,
,,,90014,,,,
1926.0,6078.4,Mixed Use Property,90026,Not Available,3.0,Not Available,224036.0
2001.0,2984,Multifamily Housing,90005,Not Available,1.0,Not Available,63253.0
,,,90034,,,,
,,,90049,,,,
,,,90036,,,,
1985.0,2698.5,Office,90025,Not Available,1.0,2698.5,267348.0
,,,91423,,,,
,,,91602,,,,
1980.0,209.7,Fire Station,91324,Not Available,1.0,Not Available,15566.0
1990.0,202.6,Office,90012,Not Available,1.0,97.6,33411.0
,,,90744,,,,
,,,90028,,,,
,,,91605,,,,
1963.0,2696.7,Multifamily Housing,91343,Not Available,1.0,Not Available,33928.0
1996.0,66.6,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",90045,Not Available,1.0,Not Available,7980.0
1914.0,3129.8,Multifamily Housing,90057,Not Available,1.0,Not Available,26470.0
1976.0,626.9,Strip Mall,91411,Not Available,1.0,Not Available,24997.0
,,,90015,,,,
2004.0,2034,Multifamily Housing,90045,Not Available,1.0,Not Available,34305.0
,,,90023,,,,
,,,90019,,,,
1967.0,6679.4,Office,90071,Not Available,1.0,Not Available,774238.0
,,,91304,,,,
,,,91402,,,,
1970.0,1045,Multifamily Housing,90034,Not Available,1.0,Not Available,22976.0
,,,91303,,,,
,,,91605,,,,
1989.0,299.2,Manufacturing/Industrial Plant,91331,Not Available,1.0,Not Available,31120.0
,,,90027,,,,
1973.0,114.5,Enclosed Mall,90041,Not Available,1.0,Not Available,460000.0
,,,90017,,,,
,,,91352,,,,
1974.0,1122.8,Multifamily Housing,90025,Not Available,1.0,Not Available,21894.0
1991.0,9554.4,Office,90017,Not Available,1.0,9554.4,1109120.0
1924.0,2610,Multifamily Housing,90017,Not Available,1.0,Not Available,67676.0
1965.0,163.1,Non-Refrigerated Warehouse,91605,Not Available,1.0,Not Available,26852.0
1956.0,116.5,Self-Storage Facility,90012,Not Available,1.0,Not Available,41277.0
2010.0,45.7,Office,90032,Not Available,1.0,22,28812.0
,,,91331,,,,
1987.0,6184.1,Multifamily Housing,90024,Not Available,1.0,Not Available,91052.0
1987.0,828.9,Medical Office,90027,Not Available,1.0,828.9,51638.0
,,,90013,,,,
1970.0,288.7,Non-Refrigerated Warehouse,91311,Not Available,1.0,Not Available,29594.0
1963.0,1979.3,Multifamily Housing,90034,Not Available,1.0,Not Available,29631.0
1990.0,2684,Multifamily Housing,90028,Not Available,1.0,Not Available,69486.0
1910.0,910.4,Mixed Use Property,90027,Not Available,1.0,Not Available,21488.0
,,,91403,,,,
1978.0,3601.9,Office,91367,Not Available,1.0,Not Available,125815.0
,,,91331,,,,
,,,91367,,,,
1987.0,195.8,Distribution Center,91331,Not Available,1.0,Not Available,21359.0
1984.0,1564.9,Multifamily Housing,91411,Not Available,1.0,Not Available,24320.0
1962.0,2137.9,Multifamily Housing,91343,Not Available,1.0,Not Available,21385.0
1987.0,4868.3,Multifamily Housing,90028,Not Available,1.0,Not Available,77530.0
2015.0,3739.3,Movie Theater,90094,Not Available,1.0,Not Available,71610.0
,,,90008,,,,
,,,90005,,,,
1962.0,2782,Multifamily Housing,91402,Not Available,1.0,Not Available,45077.0
,,,91406,,,,
1985.0,11027.7,Office,90014,Not Available,1.0,Not Available,99845.0
,,,90020,,,,
1980.0,166.7,Fire Station,91324,Not Available,1.0,Not Available,15566.0
,,,90021,,,,
,,,91605,,,,
1968.0,6106.0,Hotel,91403,Not Available,1.0,Not Available,129500.0
1955.0,299.2,Office,90048,Not Available,1.0,Not Available,29265.0
,,,90043,,,,
1960.0,1348,Multifamily Housing,91423,Not Available,1.0,Not Available,23675.0
,,,91316,,,,
,,,90025,,,,
,,,91405,,,,
,,,90024,,,,
1964.0,422.9,Self-Storage Facility,90039,Not Available,2.0,Not Available,170000.0
1968.0,20717.3,Multifamily Housing,90012,Not Available,2.0,Not Available,381269.0
1971.0,37.4,Manufacturing/Industrial Plant,90021,Not Available,1.0,Not Available,21896.0
1971.0,1249.2,Multifamily Housing,91601,Not Available,1.0,Not Available,23045.0
1984.0,556.6,Non-Refrigerated Warehouse,91311,Not Available,5.0,Not Available,21000.0
1939.0,2485,Multifamily Housing,91402,Not Available,1.0,Not Available,24428.0
1925.0,2817.9,Multifamily Housing,90057,Not Available,1.0,Not Available,21800.0
1972.0,668.8,Multifamily Housing,90048,Not Available,1.0,Not Available,21000.0
1969.0,1918.8,Multifamily Housing,90020,Not Available,1.0,Not Available,34776.0
1979.0,265.6,Non-Refrigerated Warehouse,91324,Not Available,1.0,Not Available,54545.0
1995.0,3984.1,Office,91311,Not Available,1.0,3984.1,45659.0
,,,90048,,,,
,,,90021,,,,
1925.0,2071.4,Manufacturing/Industrial Plant,90014,Not Available,1.0,Not Available,61946.0
,,,90247,,,,
1979.0,243.9,Mixed Use Property,91311,Not Available,1.0,Not Available,20281.0
1987.0,47.9,K-12 School,90068,Not Available,1.0,Not Available,28500.0
,,,90013,,,,
1945.0,55.1,Worship Facility,90003,Not Available,4.0,Not Available,170000.0
,,,90004,,,,
,,,91342,,,,
2000.0,3055,Multifamily Housing,91342,Not Available,1.0,Not Available,45000.0
1992.0,200.5,Worship Facility,90059,Not Available,1.0,Not Available,21792.0
,,,90021,,,,
,,,91331,,,,
1960.0,Not Available,Office,90017,Not Available,1.0,Not Available,395003.0
2007.0,313.4,Manufacturing/Industrial Plant,90058,Not Available,1.0,Not Available,65000.0
1987.0,466.8,Manufacturing/Industrial Plant,90021,Not Available,1.0,466.8,60240.0
1970.0,1487.9,Multifamily Housing,91403,Not Available,1.0,Not Available,49833.0
