YEAR BUILT,TOTAL WATER USE (kgal),PROPERTY TYPE,POSTAL CODE,OUTDOOR WATER USE (kgal),NUMBER OF BUILDINGS,INDOOR WATER USE (kgal),GROSS BUILDING FLOOR AREA (ft²)
1922.0,50.1,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",90013,Not Available,1.0,50.1,23520.0
1981.0,211,Multifamily Housing,90007,Not Available,1.0,Not Available,56700.0
1987.0,7961.5,Multifamily Housing,90045,Not Available,1.0,Not Available,278304.0
1980.0,640.3,Multifamily Housing,90034,Not Available,1.0,Not Available,21660.0
1963.0,2322.7,Multifamily Housing,91306,Not Available,1.0,Not Available,28910.0
1986.0,4541.7,Multifamily Housing,91331,Not Available,1.0,Not Available,50350.0
1980.0,3046.8,Multifamily Housing,91406,Not Available,1.0,Not Available,38081.0
1981.0,544.3,"Repair Services (Vehicle, Shoe, Locksmith, etc.)",90045,Not Available,1.0,Not Available,23203.0
,,,90291,,,,
1974.0,2302.5,Multifamily Housing,91607,Not Available,1.0,Not Available,57858.0
,,,90024,,,,
,,,91423,,,,
,,,90057,,,,
,,,91311,,,,
,,,90012,,,,
,,,91605,,,,
,,,90026,,,,
,,,90006,,,,
1987.0,819.9,Multifamily Housing,90034,Not Available,1.0,Not Available,22237.0
1963.0,697.2,Office,91331,Not Available,2.0,Not Available,52000.0
,,,91601,,,,
,,,90021,,,,
2010.0,1976.4,Multifamily Housing,90024,Not Available,1.0,Not Available,86308.0
1987.0,1788.6,Multifamily Housing,91402,Not Available,1.0,Not Available,31110.0
1974.0,169.1,Other,90247,Not Available,1.0,Not Available,41810.0
1980.0,835.6,Multifamily Housing,90034,Not Available,1.0,Not Available,21660.0
,,,91343,,,,
1964.0,1894.1,Multifamily Housing,91325,Not Available,1.0,Not Available,37453.0
1961.0,94.3,Multifamily Housing,90732,Not Available,1.0,Not Available,33012.0
2015.0,1162.5,Multifamily Housing,90038,Not Available,2.0,Not Available,80000.0
1970.0,139.9,Distribution Center,91605,Not Available,1.0,Not Available,20273.0
1980.0,0,Manufacturing/Industrial Plant,90292,Not Available,1.0,Not Available,58684.0
1928.0,898,College/University,90028,Not Available,1.0,0,35000.0
1986.0,606.7,Multifamily Housing,91604,Not Available,1.0,606.7,21288.0
1947.0,5.2,Non-Refrigerated Warehouse,91605,Not Available,1.0,Not Available,24272.0
